iteration,die_1,sum
1,5,5
2,2,2
3,4,4
4,1,1
5,3,3
6,2,2
7,2,2
8,3,3
9,4,4
10,6,6
11,4,4
12,5,5
13,4,4
14,1,1
15,2,2
16,3,3
17,4,4
18,4,4
19,4,4
20,6,6
21,6,6
22,3,3
23,6,6
24,5,5
25,4,4
26,1,1
27,3,3
28,1,1
29,3,3
30,3,3
31,5,5
32,1,1
33,3,3
34,6,6
35,5,5
36,1,1
37,5,5
38,5,5
39,3,3
40,4,4
41,1,1
42,2,2
43,1,1
44,5,5
45,2,2
46,5,5
47,1,1
48,6,6
49,6,6
50,4,4
51,5,5
52,3,3
53,1,1
54,2,2
55,2,2
56,3,3
57,2,2
58,1,1
59,6,6
60,5,5
61,4,4
62,6,6
63,6,6
64,5,5
65,3,3
66,6,6
67,5,5
68,4,4
69,4,4
70,1,1
71,3,3
72,6,6
73,4,4
74,6,6
75,2,2
76,1,1
77,5,5
78,4,4
79,1,1
80,2,2
81,5,5
82,6,6
83,2,2
84,1,1
85,4,4
86,1,1
87,5,5
88,1,1
89,2,2
90,4,4
91,2,2
92,3,3
93,4,4
94,6,6
95,5,5
96,3,3
97,5,5
98,6,6
99,3,3
100,1,1
101,2,2
102,1,1
103,2,2
104,6,6
105,4,4
106,2,2
107,1,1
108,6,6
109,1,1
110,4,4
111,3,3
112,3,3
113,4,4
114,2,2
115,1,1
116,5,5
117,4,4
118,6,6
119,2,2
120,3,3
121,2,2
122,2,2
123,2,2
124,4,4
125,5,5
126,3,3
127,1,1
128,6,6
129,3,3
130,1,1
131,4,4
132,5,5
133,4,4
134,4,4
135,2,2
136,5,5
137,6,6
138,4,4
139,4,4
140,2,2
141,2,2
142,5,5
143,5,5
144,1,1
145,2,2
146,6,6
147,4,4
148,5,5
149,2,2
150,1,1
151,1,1
152,6,6
153,4,4
154,2,2
155,1,1
156,4,4
157,4,4
158,5,5
159,2,2
160,4,4
161,2,2
162,5,5
163,5,5
164,1,1
165,4,4
166,3,3
167,1,1
168,1,1
169,4,4
170,1,1
171,3,3
172,3,3
173,3,3
174,1,1
175,2,2
176,6,6
177,1,1
178,4,4
179,2,2
180,4,4
181,2,2
182,4,4
183,4,4
184,3,3
185,3,3
186,2,2
187,3,3
188,1,1
189,2,2
190,6,6
191,5,5
192,1,1
193,5,5
194,1,1
195,3,3
196,2,2
197,6,6
198,6,6
199,1,1
200,6,6
201,2,2
202,2,2
203,4,4
204,5,5
205,3,3
206,4,4
207,6,6
208,5,5
209,6,6
210,5,5
211,3,3
212,5,5
213,3,3
214,3,3
215,6,6
216,2,2
217,1,1
218,1,1
219,1,1
220,1,1
221,5,5
222,4,4
223,1,1
224,6,6
225,2,2
226,5,5
227,1,1
228,4,4
229,5,5
230,4,4
231,4,4
232,4,4
233,6,6
234,5,5
235,2,2
236,2,2
237,5,5
238,6,6
239,1,1
240,3,3
241,5,5
242,5,5
243,1,1
244,5,5
245,4,4
246,5,5
247,5,5
248,6,6
249,5,5
250,2,2
251,5,5
252,5,5
253,6,6
254,3,3
255,4,4
256,1,1
257,3,3
258,4,4
259,5,5
260,4,4
261,6,6
262,6,6
263,6,6
264,6,6
265,1,1
266,5,5
267,1,1
268,6,6
269,1,1
270,6,6
271,1,1
272,4,4
273,6,6
274,4,4
275,4,4
276,3,3
277,6,6
278,1,1
279,1,1
280,4,4
281,1,1
282,2,2
283,1,1
284,4,4
285,6,6
286,4,4
287,5,5
288,2,2
289,6,6
290,1,1
291,2,2
292,4,4
293,1,1
294,6,6
295,1,1
296,5,5
297,4,4
298,2,2
299,3,3
300,6,6
301,2,2
302,6,6
303,1,1
304,4,4
305,4,4
306,4,4
307,6,6
308,2,2
309,3,3
310,3,3
311,5,5
312,2,2
313,6,6
314,1,1
315,1,1
316,3,3
317,4,4
318,1,1
319,1,1
320,4,4
321,6,6
322,3,3
323,3,3
324,3,3
325,6,6
326,4,4
327,2,2
328,3,3
329,6,6
330,5,5
331,6,6
332,2,2
333,3,3
334,6,6
335,4,4
336,3,3
337,1,1
338,3,3
339,4,4
340,6,6
341,1,1
342,1,1
343,6,6
344,1,1
345,3,3
346,3,3
347,6,6
348,5,5
349,2,2
350,2,2
351,5,5
352,2,2
353,2,2
354,4,4
355,4,4
356,1,1
357,4,4
358,5,5
359,4,4
360,3,3
361,3,3
362,1,1
363,4,4
364,2,2
365,1,1
366,6,6
367,5,5
368,1,1
369,2,2
370,3,3
371,4,4
372,3,3
373,2,2
374,5,5
375,6,6
376,2,2
377,6,6
378,3,3
379,5,5
380,3,3
381,1,1
382,4,4
383,1,1
384,4,4
385,4,4
386,3,3
387,5,5
388,1,1
389,3,3
390,5,5
391,6,6
392,4,4
393,2,2
394,5,5
395,6,6
396,3,3
397,4,4
398,3,3
399,5,5
400,1,1
401,3,3
